id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12101,48,FEMALE,INNER_CITY,17546,0,1,0,0,0,0,1
ID12102,40,MALE,TOWN,30085.1,1,3,1,0,1,1,0
ID12103,51,FEMALE,INNER_CITY,16575.4,1,0,1,1,1,0,0
ID12104,23,FEMALE,TOWN,20375.4,1,3,0,0,1,0,0
ID12105,57,FEMALE,RURAL,50576.3,1,0,0,1,0,0,0
ID12106,57,FEMALE,TOWN,37869.6,1,2,0,1,1,0,1
ID12107,22,MALE,RURAL,8877.07,0,0,0,0,1,0,1
ID12108,58,MALE,TOWN,24946.6,1,0,1,1,1,0,0
ID12109,37,FEMALE,SUBURBAN,25304.3,1,2,1,0,0,0,0
ID12110,54,MALE,TOWN,24212.1,1,2,1,1,1,0,0
ID12111,66,FEMALE,TOWN,59803.9,1,0,0,1,1,0,0
ID12112,52,FEMALE,INNER_CITY,26658.8,0,0,1,1,1,1,0
ID12113,44,FEMALE,TOWN,15735.8,1,1,0,1,1,1,1
ID12114,66,FEMALE,TOWN,55204.7,1,1,1,1,1,1,1
ID12115,36,MALE,RURAL,19474.6,1,0,0,1,1,1,0
ID12116,38,FEMALE,INNER_CITY,22342.1,1,0,1,1,1,1,0
ID12117,37,FEMALE,TOWN,17729.8,1,2,0,0,0,1,0
ID12118,46,FEMALE,SUBURBAN,41016,1,0,0,1,0,1,0
ID12119,62,FEMALE,INNER_CITY,26909.2,1,0,0,1,0,0,1
ID12120,31,MALE,TOWN,22522.8,1,0,1,1,1,0,0
ID12121,61,MALE,INNER_CITY,57880.7,1,2,0,1,0,0,1
ID12122,50,MALE,TOWN,16497.3,1,2,0,1,1,0,0
ID12123,54,MALE,INNER_CITY,38446.6,1,0,0,1,1,0,0
ID12124,27,FEMALE,TOWN,15538.8,0,0,1,1,1,1,0
ID12125,22,MALE,INNER_CITY,12640.3,0,2,1,1,1,0,0
ID12126,56,MALE,INNER_CITY,41034,1,0,1,1,1,1,0
ID12127,45,MALE,INNER_CITY,20809.7,1,0,0,1,1,1,0
ID12128,39,FEMALE,TOWN,20114,1,1,0,0,1,0,1
ID12129,39,FEMALE,INNER_CITY,29359.1,0,3,1,0,1,1,0
ID12130,61,MALE,RURAL,24270.1,1,1,0,0,1,0,1
ID12131,61,FEMALE,RURAL,22942.9,1,2,0,1,1,0,0
ID12132,20,FEMALE,TOWN,16325.8,1,2,0,1,0,0,0
ID12133,45,MALE,SUBURBAN,23443.2,1,1,1,1,1,0,1
ID12134,33,FEMALE,INNER_CITY,29921.3,0,3,1,1,0,0,0
ID12135,43,MALE,SUBURBAN,37521.9,0,0,0,1,1,0,1
ID12136,27,FEMALE,INNER_CITY,19868,1,2,0,1,1,0,0
ID12137,19,MALE,RURAL,10953,1,3,1,1,1,0,0
ID12138,36,FEMALE,RURAL,13381,0,0,1,0,1,0,1
ID12139,43,FEMALE,TOWN,18504.3,1,0,1,1,1,0,0
ID12140,66,FEMALE,SUBURBAN,25391.5,0,2,0,0,1,0,0
ID12141,55,MALE,TOWN,26774.2,1,0,0,0,1,1,1
ID12142,47,FEMALE,INNER_CITY,26952.6,1,0,1,0,1,0,0
ID12143,67,MALE,TOWN,55716.5,0,2,1,1,0,0,1
ID12144,32,FEMALE,TOWN,27571.5,1,0,1,0,1,1,0
ID12145,20,MALE,INNER_CITY,13740,0,2,1,1,1,1,0
ID12146,64,MALE,INNER_CITY,52670.6,1,2,0,1,1,1,1
ID12147,50,FEMALE,INNER_CITY,13283.9,0,1,1,1,1,0,1
ID12148,29,MALE,INNER_CITY,13106.6,0,2,0,1,1,1,1
ID12149,52,MALE,INNER_CITY,39547.8,0,2,1,0,1,0,1
ID12150,47,FEMALE,RURAL,17867.3,1,2,1,1,0,0,0
ID12151,24,MALE,TOWN,14309.7,0,2,1,1,0,0,0
ID12152,36,MALE,TOWN,23894.8,1,0,0,0,0,0,0
ID12153,43,MALE,TOWN,16259.7,1,1,0,1,1,0,1
ID12154,48,MALE,SUBURBAN,29794.1,0,1,0,1,1,0,1
ID12155,63,MALE,TOWN,56842.5,1,0,0,1,1,1,0
ID12156,52,FEMALE,RURAL,47835.8,0,3,0,1,0,0,1
ID12157,58,FEMALE,INNER_CITY,24977.5,0,0,0,0,1,0,1
ID12158,28,MALE,INNER_CITY,23124.9,1,0,0,1,1,0,1
ID12159,29,FEMALE,INNER_CITY,15143.8,1,0,0,0,1,0,0
ID12160,34,MALE,INNER_CITY,25334.3,0,1,1,1,1,1,1
ID12161,42,FEMALE,INNER_CITY,24763.3,1,1,0,1,1,1,1
ID12162,65,FEMALE,INNER_CITY,36589,0,1,1,0,1,0,1
ID12163,47,MALE,INNER_CITY,27022.6,1,2,0,1,1,0,0
ID12164,20,MALE,INNER_CITY,11700.4,1,0,0,1,0,0,0
ID12165,21,MALE,TOWN,5014.21,0,0,1,1,1,1,0
ID12166,42,MALE,INNER_CITY,17390.1,1,0,0,1,1,0,0
ID12167,19,MALE,TOWN,10861,0,2,0,1,1,0,0
ID12168,41,FEMALE,TOWN,34892.9,0,0,0,1,1,1,0
ID12169,30,MALE,TOWN,19403.1,0,2,0,1,1,0,0
ID12170,31,FEMALE,RURAL,10441.9,1,2,0,0,1,0,1
