Ano,Continente,País,Setor,Consumo_Energia_Renovável (MWh),Consumo_Energia_Fóssil (MWh),Emissões_CO2 (toneladas),PIB (milhões de USD),População (milhões)
2016,Oceania,China,Comercial,7397.6850305075695,12535.546949531848,78910.2245738619,2463036.7789838053,165.90853055051508
2020,América do Sul,Brasil,Transporte,971.5982026662286,10036.494790115978,93896.75617630093,6152132.248268807,19.864660609906437
2003,América do Sul,China,Indústria,5455.079849152057,6789.106080896276,22068.88161907447,2228469.6615444366,184.5334527058418
2019,América do Sul,China,Indústria,2778.436239058638,12941.548015323886,49534.63194639166,6481451.308891102,134.80173005546231
2019,América do Sul,Rússia,Residencial,6429.0911715998445,11755.14251664921,117101.02986026369,3262370.210834752,76.26854754270175
2003,Europa,Rússia,Residencial,8452.873124855687,10093.36432270938,-29949.595508006503,3864352.306249848,79.34653534996053
2021,América do Norte,Índia,Comercial,5887.5141133685565,18365.437064555124,68316.83268603927,5035462.126395346,116.00587579664082
2016,América do Sul,Estados Unidos,Indústria,6879.080946649438,20352.017783940377,30404.530262752,6113087.384432692,171.76278639886135
2009,Oceania,Estados Unidos,Residencial,6005.195631670699,7332.285514127456,96521.39045813064,4987718.490588455,123.03678173496183
2022,América do Sul,Rússia,Indústria,2271.233397652072,7951.184319360427,67627.20934955089,5862295.2604640955,135.23896976847615
2011,Oceania,Austrália,Comercial,5548.700022579117,10029.134396362546,152015.39471106563,3872373.4874494225,152.79350418844209
2003,Oceania,Brasil,Residencial,6649.21700945317,9992.38237476285,71064.27037340442,6316623.008288576,120.36480679558076
2008,Oceania,Brasil,Transporte,5035.213598325724,19465.583372967827,108619.76360811312,5847309.5167091265,64.21003513588204
2014,Ásia,Estados Unidos,Residencial,3702.4484979341205,9783.49409193611,62548.7557623477,2376013.44611002,122.66727231295839
2019,Oceania,Brasil,Indústria,6746.367399710132,7619.473769994953,51928.90248132827,2844012.938812484,65.8658975941298
2019,América do Sul,Brasil,Residencial,4183.0108771330915,16381.751748981173,90768.71439826544,6564470.870960197,-32.148629216398774
2005,Ásia,Austrália,Transporte,2969.228778892494,13575.65283093607,109752.57672441738,1150323.2273669546,66.84840268707632
2002,América do Sul,Índia,Indústria,5199.327828114693,9084.994997020693,143455.5310704384,5526099.331943717,127.3107257370491
2022,Oceania,Brasil,Comercial,8896.587470850105,14442.671235645072,80258.56545923611,5045392.442484577,23.028980177468213
2001,América do Norte,Índia,Comercial,4016.7853360332742,16708.066934060284,92993.83181211259,5878407.424810842,153.39496703695278
2021,Oceania,Estados Unidos,Transporte,9103.324351144045,12337.035582820074,108794.035768975,8532567.173316538,136.2579607713578
2018,Oceania,Rússia,Residencial,8484.824427727348,9667.620157059697,25052.42855502569,3366036.218877928,96.10224158777483
2021,Oceania,Índia,Comercial,2235.521481783872,4995.617574859251,180887.84788082849,6418061.241773644,166.14166310548381
2013,Ásia,Rússia,Comercial,6492.420214770897,11113.968155696493,106114.5557652759,4242127.832244225,129.97920175135127
2004,África,Índia,Comercial,5195.496652858546,9130.083310011905,230303.32364799164,1815176.9051540857,135.5597789742431
2011,América do Sul,Estados Unidos,Indústria,6043.301078398171,13055.012758133802,88597.43616620087,7260059.407962742,168.33978421045288
2005,Ásia,Estados Unidos,Comercial,4549.014559118313,21688.193199777554,107383.71256877133,4486156.63300256,180.63772580086533
2004,Oceania,China,Indústria,2999.309794777456,6559.034757356808,129169.17052376836,3263846.001087966,164.6866078061641
2000,Oceania,Rússia,Comercial,4438.186671604262,17544.668766759612,111863.96453047913,5611340.027802046,-11.720541266272093
2009,América do Norte,Austrália,Comercial,5818.329375537327,9301.502832321414,66232.67521975056,5052989.672782648,130.70106402474053
2008,África,Rússia,Transporte,6096.260043231025,14721.045891292099,153620.3475205391,1888159.3924406064,77.59812723342036
2006,Oceania,Índia,Residencial,5429.444225627331,10906.88263841824,131344.40261056746,3644313.0917465026,62.36120996453
2017,América do Sul,Brasil,Transporte,3929.317043096239,6014.365012086522,57155.857034382105,7119486.340385748,95.13784533811356
2021,Ásia,Índia,Comercial,3640.488550437799,10819.409697380868,154969.7949170053,1596055.4159282702,22.81505101497015
2016,Ásia,Brasil,Indústria,7030.403358047104,2975.903791500552,121688.6477631196,4016075.1794009134,10.598924773726793
2001,Oceania,Rússia,Transporte,4488.255760399086,18206.952528850154,76391.97807711228,5864472.76609369,172.76480058454223
2003,Ásia,Índia,Transporte,6972.97291275273,17203.06488456663,101737.56063779948,5240018.633435865,118.76988969065064
2011,Europa,Austrália,Residencial,5348.897706676108,19942.545525772428,30026.667516843227,5510662.8674001265,93.48107937349374
2017,Europa,Rússia,Indústria,5322.97231616095,12284.685417607361,80235.53055392421,5204712.383299793,144.6968276806902
2006,Oceania,Índia,Comercial,5384.569009187955,8600.4067398827,214959.95961671503,2922618.203664612,71.49620967173173
2015,Oceania,Brasil,Indústria,2674.100103956908,16532.00841525194,46668.86098088129,4140716.5507553164,177.53060524590904
2010,Oceania,Estados Unidos,Comercial,3210.867634724456,11554.354443994518,213778.89589158774,3021694.074887111,119.07040712599928
2018,Ásia,Índia,Comercial,5799.641013367988,15595.534681884237,147458.0397585318,852403.9698267155,49.54806183283383
2017,América do Norte,Brasil,Comercial,4870.012672917008,7283.976414101682,78787.80261662413,2728477.6549004284,163.24095971887638
2009,Oceania,Índia,Residencial,4302.572110000074,5352.40393914392,160326.7241604566,8022920.71187941,70.32762093990678
2017,Oceania,Brasil,Comercial,6168.1753697611675,6493.264182875014,74980.10768326347,4312099.900587523,111.38864863128585
2000,Oceania,China,Comercial,2342.8666076859217,4798.457080554731,45518.811184693695,3842119.7684828104,45.948077353428964
2018,Europa,Brasil,Comercial,7052.60260742645,3193.7355759830925,58214.318658292104,3589865.7304811236,27.675049453839122
2008,América do Sul,Estados Unidos,Residencial,6250.10037293747,4942.658938254045,80537.33190789359,756168.4876438547,85.76336889216923
2013,África,Estados Unidos,Comercial,4479.802956950216,6829.918195468799,230880.10913742986,4225672.46828013,143.52076128047787
2001,Oceania,Austrália,Transporte,5910.067276041423,12631.495822607947,83697.65233066976,4473856.381777885,98.0094854225148
2009,Oceania,Brasil,Indústria,6063.731605084543,8777.9066551082,120191.47209414674,7552727.863292107,76.32109788060646
2016,Ásia,Índia,Transporte,8491.06190242301,2765.9842532364564,126935.54410924777,4150246.3431040645,167.14234538381135
2005,América do Norte,Rússia,Transporte,6720.993935696196,12282.647554066976,152994.49258891476,4252451.224991129,127.88315645229632
2021,América do Sul,Brasil,Residencial,525.6843482088489,12000.521283175562,49397.95652205517,8394880.953579692,117.54073814509847
2000,América do Sul,Austrália,Transporte,2769.5609567115375,12866.465430819777,38763.45738687271,5117104.894378033,116.5615421848893
2020,América do Norte,Estados Unidos,Residencial,2104.7417355909784,5930.348452606877,151283.4389697932,4971721.4766977085,169.05347761794906
2011,Ásia,Austrália,Transporte,4287.821385989464,1597.6552865438298,145773.4937229983,5436128.64174604,198.81171541582904
2005,Oceania,Índia,Comercial,6397.854712393059,8077.851625829366,101840.84698768602,4257785.680745525,26.300964265122943
2006,Ásia,China,Residencial,3239.333276319121,1527.0494352182832,187898.45858066363,6664442.8999188645,141.70308226634546
2011,Oceania,Austrália,Comercial,6740.843267769432,7266.1751184387695,104137.84803135446,3611546.845563216,53.53590118154861
2001,América do Norte,China,Indústria,5976.91676930135,12546.426895599012,136323.94852649918,2102827.270232583,55.096521973427585
